Subject,Start Date,Start Time,End Date,End Time,Description,Location,All Day Event
Dinner - Day 22,2026-08-22,19:30,2026-08-22,21:00,"Beetroot & Carrot Salad | Roti | White Rice | Mango Dal | Bachali Kura Pulusu (Malabar Spinach) | Podi Onion Dosa -2 Pcs, Dal Chutney | Cabbage Beans Poriyal | Tomato Baingan Masala | Thick Curd | Muskmelon Cut Fruit | Red Chilli Pickle | Milk + Cofee Powder",,False
Breakfast - Day 23,2026-08-23,07:15,2026-08-23,09:00,"Shavige Bath | Aloo Paratha (2 Pcs Thin) | Coconut Chutney | Thick Curd, Mango Pickle | White Bread+Butter+Jam | Sprouts (1 small cup) | Egg Bhurji | Tea | Coffee | Milk",,False
Lunch - Day 23,2026-08-23,12:30,2026-08-23,14:00,Beetroot & Cucumber Salad | Chapathi | White Rice | Dal | Sambar | Chicken Dum Biryani/Vegetable Dum Biryani | Chicken Thick Gravy / Hyderabadi Mirchi Ka Salan | Onion Raitha | Fryums | Nannari Sharbath | Fresh Gongura Chutney | Vanilla Ice Cream (Not Frozen Dessert),,False
Snacks - Day 23,2026-08-23,16:45,2026-08-23,18:00,Pani Puri (8 Pcs) | Onions | Ginger Tea | Coffee | Milk,,False
Dinner - Day 23,2026-08-23,19:30,2026-08-23,21:00,"Beetroot & Carrot Salad | Pulka | White Rice | Red Lentil Dal | Rasam | Ragi Idly, Groundnut Chutney | Dondakaya Fry | Vegetable Kurma Gravy | Thick Curd | Papaya Cut Fruit | Tomato Pickle | Milk + Cofee Powder",,False
Breakfast - Day 24,2026-08-24,07:15,2026-08-24,09:00,Vegetable Rava Idly (Bangalore Style) | Poori - 3 Pcs Big | Groundnut Chutney | Chole Curry | White Bread+Butter+Jam | Sprouts (1 small cup) | Scrambled Egg | Tea | Coffee | Milk,,False
Lunch - Day 24,2026-08-24,12:30,2026-08-24,14:00,"Beetroot & Cucumber Salad | Chapathi | White Rice | Palak Dal | Sambar | Tomato Rice | Potato Fry (Andha Style) | Drumstick Tomato Masala | Rava Vadiyalu | Butter Milk | Sorakaya Perugu Chutney, Ghee + Podi | Sweet Boondi",,False
Snacks - Day 24,2026-08-24,16:45,2026-08-24,18:00,Sweet Corn Masala | Tomato/Mint Sauce | Ginger Tea | Coffee | Milk,,False
Dinner - Day 24,2026-08-24,19:30,2026-08-24,21:00,Onions & Lemon Salad | Methi Roti | White Rice | Pesara Pappu | Tomato Rasam | Bhagara Rice | Chettinad Chicken Curry (Non-Veg) | Paneer Pepper Fry(Veg) | Bhindi Masala | Thick Curd | Mixed Fruit Salad | Gongura Pickle | Milk + Cofee Powder,,False
Breakfast - Day 25,2026-08-25,07:15,2026-08-25,09:00,Onion Dosa - 2 Pcs Std Size | Pav Bhaji | Coconut Chutney | Mint Chutney | Brown Bread+Butter+Jam | Sprouts (1 small cup) | Boiled Egg | Tea | Coffee | Milk,,False
